,year,month,mean
704,2010,05,12.0
705,2010,06,19.0
706,2010,07,24.3
707,2010,08,23.3
708,2010,09,19.8
709,2010,10,13.9
710,2010,11,3.9
711,2010,12,1.7
712,2011,01,-0.1
713,2011,02,2.0
714,2011,03,6.8
715,2011,04,7.9
716,2011,05,13.1
717,2011,06,17.9
718,2011,07,24.3
719,2011,08,25.8
720,2011,09,22.1
721,2011,10,12.6
722,2011,11,4.5
723,2011,12,-0.4
724,2012,01,1.6
725,2012,02,3.6
726,2012,03,8.4
727,2012,04,12.6
728,2012,05,14.9
729,2012,06,19.6
730,2012,07,27.4
731,2012,08,25.8
732,2012,09,20.3
733,2012,10,11.8
734,2012,11,7.0
735,2012,12,2.2
736,2013,01,-6.8
737,2013,02,2.0
738,2013,03,7.3
739,2013,04,10.0
740,2013,05,16.1
741,2013,06,21.1
742,2013,07,27.5
743,2013,08,25.7
744,2013,09,19.2
745,2013,10,10.1
746,2013,11,4.3
747,2013,12,-4.4
748,2014,01,-0.7
749,2014,02,3.9
750,2014,03,7.6
751,2014,04,10.3
752,2014,05,15.9
753,2014,06,19.6
754,2014,07,27.2
755,2014,08,24.3
756,2014,09,19.8
757,2014,10,14.5
758,2014,11,2.1
759,2014,12,3.0
760,2015,01,-0.1
761,2015,02,6.6
762,2015,03,9.8
763,2015,04,10.7
764,2015,05,16.7
765,2015,06,24.4
766,2015,07,24.8
767,2015,08,25.2
768,2015,09,19.2
769,2015,10,15.4
770,2015,11,2.9
771,2015,12,-0.1
772,2016,01,0.9
773,2016,02,5.1
774,2016,03,8.6
775,2016,04,13.6
776,2016,05,16.2
777,2016,06,22.1
778,2016,07,24.1
779,2016,08,24.0
780,2016,09,17.7
781,2016,10,13.4
782,2016,11,8.2
783,2016,12,-4.7
784,2017,01,-5.8
785,2017,02,3.3
786,2017,03,9.4
787,2017,04,9.7
788,2017,05,15.4
789,2017,06,20.5
790,2017,07,27.6
791,2017,08,25.5
792,2017,09,19.0
793,2017,10,9.9
794,2017,11,6.6
795,2017,12,-1.8
